lob|type|subtype|brand|short_description|MRP|list_price|discount|savings|speciality|size|sizePack|description|image_url|Country of Origin
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Chana Dal/Channa Unpolished|141.00|110.00|22%|31.00|[Vegetarian~Organic]|1kg|Pouch|Anmol Supreme Organic - Chana Dal/Channa Unpolished||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Chana Dal/Channa Unpolished|72.00|57.00|21%|15.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - Chana Dal/Channa Unpolished||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Moong Dal, Unpolished|225.00|145.00|36%|80.00|[Vegetarian~Organic]|1kg|Pouch|Anmol Supreme Organic - Moong Dal, Unpolished||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Moong Dal, Unpolished|115.00|77.00|33%|38.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - Moong Dal, Unpolished||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Green Moong Whole/Channa Unpolished|179.00|125.00|30%|54.00|[Vegetarian~Organic]|1kg|Pouch|Anmol Supreme Organic - Green Moong Whole||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Green Moong Whole/Channa Unpolished|91.00|75.00|18%|16.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - Green Moong Whole||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Green Moong Dal (Split)|179.00|139.00|22%|40.00|[Vegetarian~Organic]|1kg|Pouch|Anmol Supreme Organic - Green Moong Dal (Split)||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Green Moong Dal (Split)|91.00|73.00|20%|18.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - Green Moong Dal (Split)||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Red Masoor Dal, Unpolished|145.00|120.00|17%|25.00|[Vegetarian~Organic]|1kg|Pouch|Anmol Supreme Organic - Red Masoor Dal, Unpolished||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Red Masoor Dal, Unpolished|74.00|61.00|18%|13.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - Red Masoor Dal, Unpolished||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Masoor Black Whole|142.00|115.00|19%|27.00|[Vegetarian~Organic]|1kg|Pouch|Anmol Supreme Organic - Masoor Black Whole||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Masoor Black Whole|73.00|61.00|16%|12.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - Masoor Black Whole||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Urad Dal Black (Split)|180.00|147.00|23%|33.00|[Vegetarian~Organic]|1kg|Pouch|Anmol Supreme Organic - Urad Dal Black (Split)||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Urad Dal Black (Split)|91.00|78.00|14%|13.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - Urad Dal Black (Split)||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Urad Whole (Gota), Unpolished|240.00|139.00|35%|101.00|[Vegetarian~Organic]|1kg|Pouch|Anmol Supreme Organic - Urad Whole (Gota), Unpolished||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Urad Whole (Gota), Unpolished|116.00|82.00|29%|34.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - Urad Whole (Gota), Unpolished||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Urad Dal White (Split), Unpolished|200.00|148.00|26%|52.00|[Vegetarian~Organic]|1kg|Pouch|Anmol Supreme Organic - Urad Dal White (Split), Unpolished||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Urad Dal White (Split), Unpolished|100.00|79.00|21%|21.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - Urad Dal White (Split), Unpolished||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Urad Black, Whole|190.00|145.00|24%|45.00|[Vegetarian~Organic]|1kg|Pouch|Anmol Supreme Organic - Urad Black, Whole||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Urad Black, Whole|91.00|77.00|15%|14.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - Urad Black, Whole||India

Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Organic - Ragi Whole/Finger Millet|76.00|62.00|18%|14.00|[Vegetarian~Organic]|1kg|Pouch|Organic - Ragi Whole/Finger Millet||India
Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Organic - Ragi Whole/Finger Millet|39.00|32.00|18%|7.00|[Vegetarian~Organic]|500gms|Pouch|Organic - Ragi Whole/Finger Millet||India

Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Organic - Quinoa|375.00|225.00|40%|150.00|[Vegetarian~Organic]|1kg|Pouch|Organic - Quinoa||India
Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Organic - Quinoa|200.00|125.00|38%|75.00|[Vegetarian~Organic]|500gms|Pouch|Organic - Quinoa||India
Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Organic - Quinoa|100.00|56.00|44%|44.00|[Vegetarian~Organic]|200gms|Pouch|Organic - Quinoa||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Mixed Dal|200.00|138.00|31%|62.00|[Vegetarian~Organic]|1kg|Pouch|Anmol Supreme Organic - Mixed Dal||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Mixed Dal|100.00|70.00|30%|30.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - Mixed Dal||India

Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Organic - Jowar/Sorghum Millet|80.00|57.00|29%|23.00|[Vegetarian~Organic]|1kg|Pouch|Anmol Supreme Organic - Jowar/Sorghum Millet||India
Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Organic - Jowar/Sorghum Millet|48.00|32.00|33%|16.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - Jowar/Sorghum Millet||India

Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Organic - Bajra Wild / Pearl Millet|75.00|57.00|24%|18.00|[Vegetarian~Organic]|1kg|Pouch|Anmol Supreme Organic - Bajra Wild / Pearl Millet||India
Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Organic - Bajra Wild / Pearl Millet|38.00|29.00|24%|9.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - Bajra Wild / Pearl Millet||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Rajma|229.00|209.00|20.00|20.00|[Vegetarian~Organic]|1kg|Pouch|Anmol Supreme Organic - Rajma||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Rajma|115.00|105.00|10.00|10.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - Rajma||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Red Rajma|110.00|80.00|27%|30.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - Red Rajma||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Green Peas|199.00|179.00|20.00|20.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - Green Peas||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - White Peas|99.00|95.00|4.00|4.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - White Peas||India

Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Organic - Soyabean Whole|65.00|59.00|9%|6.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - Soyabean Whole||India







Pantry|Rice & Rice Products|Basmati Rice|Daawat|Daawat Basmati Rice - Rozana Gold|445.00|349.00|22%|96.00|Vegetarian|5kg|Pouch|Daawat Basmati Rice - Rozana Gold||India
Pantry|Rice & Rice Products|Basmati Rice|Daawat|Daawat Basmati Rice - Rozana Gold|99.00|86.00|13%|13.00|Vegetarian|1kg|Pouch|Daawat Basmati Rice - Rozana Gold||India

Pantry|Rice & Rice Products|Basmati Rice|Daawat|Daawat Basmati Rice - Super|820.00|798.00|22.00|22.00|Vegetarian|5kg|Pouch|Daawat Basmati Rice - Super||India
Pantry|Rice & Rice Products|Basmati Rice|Daawat|Daawat Basmati Rice - Super|165.00|155.00|10.00|10.00|Vegetarian|1kg|Pouch|Daawat Basmati Rice - Super||India

Pantry|Rice & Rice Products|Basmati Rice|Daawat|Daawat Basmati Rice - Rozana Super |390.00|321.00|18.00|69.00|Vegetarian|5kg|Pouch|Daawat Basmati Rice - Rozana Super ||India

Pantry|Rice & Rice Products|Basmati Rice|Daawat|Daawat Basmati Rice - Pulav|600.00|553.00|47.00|47.00|Vegetarian|5kg|Pouch|Daawat Basmati Rice - Pulav||India
Pantry|Rice & Rice Products|Basmati Rice|Daawat|Daawat Basmati Rice - Pulav|120.00|111.00|9.00|9.00|Vegetarian|1kg|Pouch|Daawat Basmati Rice - Pulav||India

Pantry|Rice & Rice Products|Basmati Rice|Daawat|Daawat Basmati Rice - Biryani|1097.00|951.00|13%|146.00|Vegetarian|5kg|Pouch|Daawat Basmati Rice - Biryani||India
Pantry|Rice & Rice Products|Basmati Rice|Daawat|Daawat Basmati Rice - Biryani|220.00|165.00|25%|55.00|Vegetarian|1kg|Pouch|Daawat Basmati Rice - Biryani||India

Pantry|Rice & Rice Products|Basmati Rice|Daawat|Daawat Basmati Rice - Traditional|1050.00|991.00|59.00|59.00|Vegetarian|5kg|Pouch|Daawat Basmati Rice - Traditional||India
Pantry|Rice & Rice Products|Basmati Rice|Daawat|Daawat Basmati Rice - Traditional|210.00|198.00|12.00|12.00|Vegetarian|1kg|Pouch|Daawat Basmati Rice - Traditional||India

Pantry|Rice & Rice Products|Basmati Rice|Daawat|Daawat Basmati Rice - Rozana Mogra, Broken|711.00|648.00|63.00|63.00|Vegetarian|10kg|Pouch|Daawat Basmati Rice - Rozana Mogra, Broken||India
Pantry|Rice & Rice Products|Basmati Rice|Daawat|Daawat Basmati Rice - Rozana Mogra, Broken|358.00|343.00|15.00|15.00|Vegetarian|5kg|Pouch|Daawat Basmati Rice - Rozana Mogra, Broken||India

Pantry|Rice & Rice Products|Basmati Rice|Daawat|Daawat Basmati Rice - Brown (Quick Cooking)|165.00|135.00|18%|30.00|Vegetarian|1kg|Pouch|Daawat Basmati Rice - Brown (Quick Cooking)||India

Pantry|Rice & Rice Products|Basmati Rice|India Gate|India Gate Basmati Rice - Feast Rozzana|440.00|349.00|21%|91.00|Vegetarian|5kg|Pouch|India Gate Basmati Rice - Feast Rozzana||India
Pantry|Rice & Rice Products|Basmati Rice|India Gate|India Gate Basmati Rice - Feast Rozzana|89.00|87.00|2%|2.00|Vegetarian|1kg|Pouch|India Gate Basmati Rice - Feast Rozzana||India

Pantry|Rice & Rice Products|Basmati Rice|India Gate|India Gate Basmati Rice - Dubar|570.00|562.00|8.00|8.00|Vegetarian|5kg|Pouch|India Gate Basmati Rice - Dubar||India
Pantry|Rice & Rice Products|Basmati Rice|India Gate|India Gate Basmati Rice - Dubar|115.00|115.00|||Vegetarian|1kg|Pouch|India Gate Basmati Rice - Dubar||India

Pantry|Rice & Rice Products|Basmati Rice|India Gate|India Gate Basmati Rice - Classic|209.00|200.00|9.00|9.00|Vegetarian|1kg|Pouch|India Gate Basmati Rice - Classic||India
Pantry|Rice & Rice Products|Basmati Rice|India Gate|India Gate Basmati Rice - Classic|1040.00|977.00|63.00|63.00|Vegetarian|5kg|Pouch|India Gate Basmati Rice - Classic||India

Pantry|Rice & Rice Products|Basmati Rice|India Gate|India Gate Basmati Rice - Mogra/Broken|342.00|322.00|20.00|20.00|Vegetarian|5kg|Pouch|India Gate Basmati Rice - Mogra/Broken||India

Pantry|Rice & Rice Products|Basmati Rice|India Gate|India Gate Basmati Rice - Regular Choice|445.00|445.00|||Vegetarian|5kg|Pouch|India Gate Basmati Rice - Regular Choice||India

Pantry|Rice & Rice Products|Basmati Rice|Kohinoor|Kohinoor Basmati Rice - Royale, Authentic Biryani|189.00|135.00|26%|54.00|Vegetarian|1kg|Pouch|Kohinoor Basmati Rice - Royale, Authentic Biryani||India

Pantry|Rice & Rice Products|Basmati Rice|Kohinoor|Kohinoor Basmati Rice - Extra Long, Gold|1025.00|878.00|14%|147.00|Vegetarian|5kg|Pouch|Kohinoor Basmati Rice - Extra Long, Gold||India
Pantry|Rice & Rice Products|Basmati Rice|Kohinoor|Kohinoor Basmati Rice - Extra Long, Gold|209.00|185.00|11%|24.00|Vegetarian|1kg|Pouch|Kohinoor Basmati Rice - Extra Long, Gold||India

Pantry|Rice & Rice Products|Basmati Rice|Kohinoor|Kohinoor Basmati Rice - Authentic, Super Value|810.00|549.00|32%|261.00|Vegetarian|5kg|Pouch|Kohinoor Basmati Rice - Authentic, Super Value||India
Pantry|Rice & Rice Products|Basmati Rice|Kohinoor|Kohinoor Basmati Rice - Authentic, Super Value|169.00|140.00|17%|29.00|Vegetarian|1kg|Pouch|Kohinoor Basmati Rice - Authentic, Super Value||India

Pantry|Rice & Rice Products|Basmati Rice|Kohinoor|Kohinoor Supreme Authentic Basmati Rice|1040.00|845.00|26%|195.00|Vegetarian|5kg|Pouch|Kohinoor Supreme Authentic Basmati Rice||India
Pantry|Rice & Rice Products|Basmati Rice|Kohinoor|Kohinoor Supreme Authentic Basmati Rice|229.00|173.00|24%|56.00|Vegetarian|1kg|Pouch|Kohinoor Supreme Authentic Basmati Rice||India

Pantry|Rice & Rice Products|Basmati Rice|Kohinoor|Kohinoor Basmati Rice - Traditional, Authentic, Aged|215.00|185.00|14%|30.00|Vegetarian|1kg|Pouch|Kohinoor Basmati Rice - Traditional, Authentic, Aged||India

Pantry|Rice & Rice Products|Basmati Rice|Kohinoor|Kohinoor Basmati Rice - Authentic Brown|179.00|162.00|17.00|17.00|Vegetarian|1kg|Jar|Kohinoor Basmati Rice - Authentic Brown||India

Pantry|Rice & Rice Products|Basmati Rice|Kohinoor|Kohinoor Charminar Rozana Basmati Rice|515.00|339.00|34%|176.00|Vegetarian|5kg|Pouch|Kohinoor Charminar Rozana Basmati Rice||India

Pantry|Rice & Rice Products|Basmati Rice|Kohinoor|Kohinoor Charminar Everyday Basmati Rice|545.00|319.00|28%|126.00|Vegetarian|1kg|Pouch|Kohinoor Charminar Everyday Basmati Rice||India

Pantry|Rice & Rice Products|Raw Rice|Kohinoor|Kohinoor Charminar Brown Rice|540.00|501.00|39.00|39.00.00|Vegetarian|5kg|Pouch|Kohinoor Charminar Brown Rice||India
Pantry|Rice & Rice Products|Raw Rice|Kohinoor|Kohinoor Charminar Brown Rice|109.00|79.00|28%|30.00.00|Vegetarian|1kg|Pouch|Kohinoor Charminar Brown Rice||India

Pantry|Rice & Rice Products|Raw Rice|Kohinoor|Kohinoor Long Grain Rice|499.00|329.00|34%|170.00|Vegetarian|5kg|Pouch|Kohinoor Long Grain Rice||India
Pantry|Rice & Rice Products|Raw Rice|Kohinoor|Kohinoor Long Grain Rice|110.00|72.00|35%|38.00|Vegetarian|1kg|Pouch|Kohinoor Long Grain Rice||India

Pantry|Rice & Rice Products|Poha, Sabudana & Murmura|Tata Sampann|Tata Sampann Thick Poha|42.00|34.00|19%|8.00|Vegetarian|500gms|Pouch|Tata Sampann Thick Poha||India

Pantry|Rice & Rice Products|Basmati Rice|Tata Sampann|Fortune Basmati Rice - Rozana|585.00|390.00|33%|195.00|Vegetarian|5kg|Pouch|Fortune Basmati Rice - Rozana||India
Pantry|Rice & Rice Products|Basmati Rice|Tata Sampann|Fortune Basmati Rice - Rozana|130.00|84.00|35%|46.00|Vegetarian|1kg|Pouch|Fortune Basmati Rice - Rozana||India



Pantry|Rice & Rice Products|Basmati Rice|Anmol|Anmol Supreme Basmati Rice - Rozzana Premium|510.00|510.00|||Vegetarian|5kg|Pouch|Anmol Supreme Basmati Rice - Rozzana Premium||India

Pantry|Rice & Rice Products|Basmati Rice|Anmol|Anmol Supreme  Basmati Rice - Everyday|495.00|315.00|36%|180.00|Vegetarian|5kg|Pouch|Anmol Supreme  Basmati Rice - Everyday||India
Pantry|Rice & Rice Products|Basmati Rice|Anmol|Anmol Supreme  Basmati Rice - Everyday|100.00|71.00|29%|29.00|Vegetarian|1kg|Pouch|Anmol Supreme  Basmati Rice - Everyday||India

Pantry|Rice & Rice Products|Basmati Rice|Anmol|Anmol Supreme Basmati Rice - Premium|600.00|404.00|33%|196.00|Vegetarian|5kg|Pouch|Anmol Supreme Basmati Rice - Premium||India
Pantry|Rice & Rice Products|Basmati Rice|Anmol|Anmol Supreme Basmati Rice - Premium|120.00|89.00|26%|31.00|Vegetarian|1kg|Pouch|Anmol Supreme Basmati Rice - Premium||India
Pantry|Rice & Rice Products|Basmati Rice|Anmol|Anmol Supreme Basmati Rice - Premium|70.00|50.00|29%|20.00|Vegetarian|500gms|Pouch|Anmol Supreme Basmati Rice - Premium||India

Pantry|Rice & Rice Products|Basmati Rice|Anmol|Anmol Supreme Basmati Rice - Super Premium|180.00|117.00|35%|63.00|Vegetarian|1kg|Pouch|Anmol Supreme Basmati Rice - Super Premium||India

Pantry|Rice & Rice Products|Basmati Rice|Anmol|Anmol Supreme Basmati Rice - Everyday|495.00|315.00|36%|180.00|Vegetarian|5kg|Pouch|Anmol Supreme Basmati Rice - Everyday||India
Pantry|Rice & Rice Products|Basmati Rice|Anmol|Anmol Supreme Basmati Rice - Everyday|99.00|71.00|28%|28.00|Vegetarian|1kg|Pouch|Anmol Supreme Basmati Rice - Everyday||India

Pantry|Rice & Rice Products|Basmati Rice|Anmol|Anmol Supreme Biryani Basmati Rice - Extra|175.00|125.00|29%|50.00|Vegetarian|1kg|Pouch|Anmol Supreme Biryani Basmati Rice - Extra Long||India

Pantry|Rice & Rice Products|Basmati Rice|Anmol|Anmol Supreme  Basmati Rice - Mogra, Broken/Tukda|400.00|316.00|21%|84.00|Vegetarian|5kg|Pouch|Anmol Supreme Basmati Rice Mogra, Broken/Tukda||India
Pantry|Rice & Rice Products|Basmati Rice|Anmol|Anmol Supreme Basmati Rice - Mogra, Broken/Tukda|80.00|66.00|18%|14.00|Vegetarian|1kg|Pouch|Anmol Supreme Basmati Rice Mogra, Broken/Tukda||India

Pantry|Rice & Rice Products|Raw Rice|Anmol|Anmol Supreme HMT Kolam Rice|375.00|322.00|14%|53.00|Vegetarian|5kg|Pouch|Anmol Supreme HMT Kolam Rice||India
Pantry|Rice & Rice Products|Raw Rice|Anmol|Anmol Supreme HMT Kolam Rice|75.00|67.00|11%|8.00|Vegetarian|1kg|Pouch|Anmol Supreme HMT Kolam Rice||India

Pantry|Rice & Rice Products|Raw Rice|Anmol|Anmol Supreme Red Raw Rice|65.00|58.00|11%|7.00|Vegetarian|1kg|Pouch|Anmol Supreme Red Raw Rice||India

Pantry|Rice & Rice Products|Raw Rice|Anmol|Anmol Supreme Broken Rice|50.00|42.00|16%|8.00|Vegetarian|1kg|Pouch|Anmol Supreme Broken Rice||India

Pantry|Rice & Rice Products|Poha, Sabudana & Murmura|Anmol|Anmol Supreme Medium Poha|80.00|59.00|26%|21.00|Vegetarian|1kg|Pouch|Anmol Supreme Medium Poha||India
Pantry|Rice & Rice Products|Poha, Sabudana & Murmura|Anmol|Anmol Supreme Medium Poha|40.00|31.00|23%|9.00|Vegetarian|500gms|Pouch|Anmol Supreme Medium Poha||India

Pantry|Rice & Rice Products|Poha, Sabudana & Murmura|Anmol|Anmol Supreme Thin Poha|80.00|56.00|31%|24.00|Vegetarian|1kg|Pouch|Anmol Supreme Thin Poha||India
Pantry|Rice & Rice Products|Poha, Sabudana & Murmura|Anmol|Anmol Supreme Thin Poha|40.00|34.00|15%|16.00|Vegetarian|500gms|Pouch|Anmol Supreme Thin Poha||India

Pantry|Rice & Rice Products|Poha, Sabudana & Murmura|Anmol|Anmol Supreme Plain Puffed Rice/Murmure|75.00|65.00|13%|10.00|Vegetarian|500gms|Pouch|Anmol Supreme Plain Puffed Rice/Murmure||India
Pantry|Rice & Rice Products|Poha, Sabudana & Murmura|Anmol|Anmol Supreme Plain Puffed Rice/Murmure|30.00|28.00|7%|2.00|Vegetarian|200gms|Pouch|Anmol Supreme Plain Puffed Rice/Murmure||India

Pantry|Rice & Rice Products|Poha, Sabudana & Murmura|Anmol|Anmol Supreme Barley/Jau|20.00|16.00|20%|4.00|Vegetarian|200gms|Pouch|Anmol Supreme Barley/Jau||India
Pantry|Rice & Rice Products|Poha, Sabudana & Murmura|Anmol|Anmol Supreme Barley/Jau|10.00|9.00|10%|1.00|Vegetarian|100gms|Pouch|Anmol Supreme Barley/Jau||India

Pantry|Rice & Rice Products|Poha, Sabudana & Murmura|Anmol|Anmol Supreme Sabudana - Nylon, Big|150.00|119.00|21%|31.00|Vegetarian|1kg|Pouch|Anmol Supreme Sabudana - Nylon, Big||India
Pantry|Rice & Rice Products|Poha, Sabudana & Murmura|Anmol|Anmol Supreme Sabudana - Nylon, Big|75.00|62.00|17%|13.00|Vegetarian|500gms|Pouch|Anmol Supreme Sabudana - Nylon, Big||India





Pantry|Rice & Rice Products|Raw Rice|Anmol|Anmol Supreme Organic - Black Rice|139.00|119.00|14%|20.00|Vegetarian|500gms|Pouch|Anmol Supreme Organic - Black Rice||India

Pantry|Rice & Rice Products|Raw Rice|Anmol|Anmol Supreme Organic - Brown Rice|165.00|152.00|13.00|13.00|Vegetarian|1kg|Pouch|Anmol Supreme Organic - Brown Rice||India

Pantry|Rice & Rice Products|Poha, Sabudana & Murmura|Anmol|Anmol Supreme Organic - Poha|110.00|59.00|46%|15.00|Vegetarian|1kg|Pouch|Anmol Supreme Organic - Poha||India
Pantry|Rice & Rice Products|Poha, Sabudana & Murmura|Anmol|Anmol Supreme Organic - Poha|55.00|40.00|27%|15.00|Vegetarian|500gms|Pouch|Anmol Supreme Organic - Poha||India

Pantry|Rice & Rice Products|Boiled & Steam Rice|Anmol|Anmol Supreme Organic - Idli Rice|419.00|325.00|22%|94.00|Vegetarian|5kg|Pouch|Anmol Supreme Organic - Idli Rice||India
Pantry|Rice & Rice Products|Boiled & Steam Rice|Anmol|Anmol Supreme Organic - Idli Rice|88.00|77.00|13%|11.00|Vegetarian|1kg|Pouch|Anmol Supreme Organic - Idli Rice||India

Pantry|Rice & Rice Products|Poha, Sabudana & Murmura|Anmol|Anmol Supreme Organic Barley|119.00|89.00|25%|30.00|Vegetarian|1kg|Pouch|Anmol Supreme Organic Barley||India
Pantry|Rice & Rice Products|Poha, Sabudana & Murmura|Anmol|Anmol Supreme Organic Barley|60.00|50.00|17%|10.00|Vegetarian|500gms|Pouch|Anmol Supreme Organic Barley||India





Pantry|Dry Fruits and Nuts|Almonds|Anmol|Anmol Rozana Almond/Badam - Californian, Giri|600.00|324.00|46%|276.00|Vegetarian|500gms|Pouch|Anmol Rozana Almond/Badam - Californian, Giri||USA
Pantry|Dry Fruits and Nuts|Almonds|Anmol|Anmol Rozana Almond/Badam - Californian, Giri|240.00|145.00|40%|95.00|Vegetarian|200gms|Pouch|Anmol Rozana Almond/Badam - Californian, Giri||USA
Pantry|Dry Fruits and Nuts|Almonds|Anmol|Anmol Rozana Almond/Badam - Californian, Giri|120.00|94.00|20%|26.00|Vegetarian|100gms|Pouch|Anmol Rozana Almond/Badam - Californian, Giri||USA

Pantry|Dry Fruits and Nuts|Almonds|Anmol|Anmol Supreme Almond/Badam - Californian, Giri|1500.00|990.00|34%|510.00|Vegetarian|1kg|Pouch|Anmol Supreme Almond/Badam - Californian, Giri||USA
Pantry|Dry Fruits and Nuts|Almonds|Anmol|Anmol Supreme Almond/Badam - Californian, Giri|750.00|499.00|33%|251.00|Vegetarian|500gms|Pouch|Anmol Supreme Almond/Badam - Californian, Giri||USA
Pantry|Dry Fruits and Nuts|Almonds|Anmol|Anmol Supreme Almond/Badam - Californian, Giri|300.00|169.00|44%|131.00|Vegetarian|200gms|Pouch|Anmol Supreme Almond/Badam - Californian, Giri||USA
Pantry|Dry Fruits and Nuts|Almonds|Anmol|Anmol Supreme Almond/Badam - Californian, Giri|150.00|115.00|23%|35.00|Vegetarian|100gms|Pouch|Anmol Supreme Almond/Badam - Californian, Giri||USA

Pantry|Dry Fruits and Nuts|Almonds|Anmol|Anmol Supreme Almond/Badam - Sonora|300.00|298.00|2.00|2.00|Vegetarian|200gms|Pouch|Anmol Supreme Almond/Badam - Sonora||India
Pantry|Dry Fruits and Nuts|Almonds|Anmol|Anmol Supreme Almond/Badam - Sonora|150.00|149.00|1.00|1.00|Vegetarian|100gms|Pouch|Anmol Supreme Almond/Badam - Sonora||India

Pantry|Dry Fruits and Nuts|Almonds|Anmol|Anmol Supreme Almond/Badam - Roasted & Salted|300.00|250.00|17%|50.00|Vegetarian|200gms|Pouch|Anmol Supreme Almond/Badam - Roasted & Salted||India
Pantry|Dry Fruits and Nuts|Almonds|Anmol|Anmol Supreme Almond/Badam - Roasted & Salted|150.00|130.00|13%|20.00|Vegetarian|100gms|Pouch|Anmol Supreme Almond/Badam - Roasted & Salted||India

Pantry|Dry Fruits and Nuts|Cashews|Anmol|Anmol Rozana Cashew/Kaju - Whole|1500.00|858.00|43%|642.00|Vegetarian|1kg|Pouch|Anmol Rozana Cashew/Kaju - Whole||India
Pantry|Dry Fruits and Nuts|Cashews|Anmol|Anmol Rozana Cashew/Kaju - Whole|750.00|429.00|43%|321.00|Vegetarian|500gms|Pouch|Anmol Rozana Cashew/Kaju - Whole||India
Pantry|Dry Fruits and Nuts|Cashews|Anmol|Anmol Rozana Cashew/Kaju - Whole|300.00|185.00|38%|115.00|Vegetarian|200gms|Pouch|Anmol Rozana Cashew/Kaju - Whole||India
Pantry|Dry Fruits and Nuts|Cashews|Anmol|Anmol Rozana Cashew/Kaju - Whole|150.00|113.00|37%|37.00|Vegetarian|100gms|Pouch|Anmol Rozana Cashew/Kaju - Whole||India

Pantry|Dry Fruits and Nuts|Cashews|Anmol|Anmol Rozana Cashew/Kaju - Broken|1200.00|699.00|42%|501.00|Vegetarian|1kg|Pouch|Anmol Rozana Cashew/Kaju - Broken||India
Pantry|Dry Fruits and Nuts|Cashews|Anmol|Anmol Rozana Cashew/Kaju - Broken|600.00|380.00|37%|220.00|Vegetarian|500gms|Pouch|Anmol Rozana Cashew/Kaju - Broken||India
Pantry|Dry Fruits and Nuts|Cashews|Anmol|Anmol Rozana Cashew/Kaju - Broken|240.00|150.00|38%|90.00|Vegetarian|200gms|Pouch|Anmol Rozana Cashew/Kaju - Broken||India
Pantry|Dry Fruits and Nuts|Cashews|Anmol|Anmol Rozana Cashew/Kaju - Broken|120.00|77.00|36%|43.00|Vegetarian|100gms|Pouch|Anmol Rozana Cashew/Kaju - Broken||India

Pantry|Dry Fruits and Nuts|Cashews|Anmol|Anmol Rozana Cashew/Kaju - Split|1200.00|930.00|23%|270.00|Vegetarian|1kg|Pouch|Anmol Rozana Cashew/Kaju - Split||India
