lob|type|subtype|brand|short_description|MRP|list_price|discount|savings|speciality|size|sizePack|description|image_url|Country of Origin
Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Besan/Gram flour|150.00|91.00|39%|59.00|Vegetarian|1kg|Pouch|Anmol Supreme Besan/Gram flour||India
Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Besan/Gram flour|75.00|47.00|37%|28.00|Vegetarian|500gms|Pouch|Anmol Supreme Besan/Gram flour||India

Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Rice flour|60.00|36.00|40%|24.00|Vegetarian|1kg|Pouch|Anmol|Anmol Supreme Rice flour||India
Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Rice flour|30.00|21.00|30%|9.00|Vegetarian|500gms|Pouch|Anmol|Anmol Supreme Rice flour||India

Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Bansi Sooji/Semolina|75.00|57.00|24%|18.00|Vegetarian|1kg|Pouch|Anmol Supreme Bansi Sooji||India
Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Bansi Sooji/Semolina|38.00|30.00|21%|8.00|Vegetarian|500gms|Pouch|Anmol Supreme Bansi Sooji||India

Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Idly sooji|70.00|45.00|36%|25.00|Vegetarian|1kg|Pouch|Anmol Supreme Idli sooji||India
Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Idly sooji|35.00|25.00|10.00|10.00|Vegetarian|500gms|Pouch|Anmol Supreme Idli sooji||India

Pantry|Atta Flours & Sooji|Rice & Other Flours|Atta Whole Wheat|Anmol|Anmol Supreme Wheat Broken/Dalia|70.00|62.00|11%|8.00|Vegetarian|1kg|Pouch|Anmol Supreme Wheat Broken/Dalia||India
Pantry|Atta Flours & Sooji|Rice & Other Flours|Atta Whole Wheat|Anmol|Anmol Supreme Wheat Broken/Dalia|40.00|34.00|15%|6.00|Vegetarian|500gms|Pouch|Anmol Supreme Wheat Broken/Dalia||India

Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Corn Flour (Starch)|50.00|37.00|36%|13.00|Vegetarian|500gms|Pouch|Anmol Supreme Corn Flour (Starch)||India

Pantry|Atta Flours & Sooji|Atta Whole Wheat|Anmol|Anmol Supreme Multigrain Atta|300.00|240.00|20%|60.00|Vegetarian|5kg|Pouch|Anmol Supreme Multigrain Atta||India
Pantry|Atta Flours & Sooji|Atta Whole Wheat|Anmol|Anmol Supreme Multigrain Atta|120.00|110.00|10.00|10.00|Vegetarian|2kg|Pouch|Anmol Supreme Multigrain Atta||India
Pantry|Atta Flours & Sooji|Atta Whole Wheat|Anmol|Anmol Supreme Multigrain Atta|60.00|57.00|5%|3.00|Vegetarian|1kg|Pouch|Anmol Supreme Multigrain Atta||India

Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Bajra Flour|50.00|33.00|34%|17.00|Vegetarian|500gms|Pouch|Anmol Supreme Bajra Flour||India

Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Organic Maida|85.00|57.00|33%|28.00|[Vegetarian~Organic]|1kg|Pouch|Anmol Supreme Organic Maida||India
Pantry|Atta Flours & Sooji|Anmol|Anmol Supreme Organic Maida|43.00|31.00|28%|12.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic Maida||India

Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Organic - Besan Flour|140.00|107.00|28%|33.00|[Vegetarian~Organic]|1kg|Pouch|Anmol Supreme Organic - Besan Flour||India
Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Organic - Besan Flour|76.00|55.00|28%|21.00|Vegetarian|500gms|Pouch|Anmol Supreme Organic - Besan Flour||India

Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Organic - Sooji/Rawa|88.00|75.00|15%|13.00|[Vegetarian~Organic]|1kg|Pouch|Anmol Supreme Organic - Sooji/Rawa||India
Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Organic - Sooji/Rawa|45.00|39.00|13%|6.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - Sooji/Rawa||India





Pantry|Dals & Pulses|All Dals|Tata|Tata Sampann Toor Dal|199.00|141.00||India58.00|Vegetarian|1kg|Pouch|Tata Sampann Toor Dal||India
Pantry|Dals & Pulses|All Dals|Toor, Channa & Moong Dal|Tata|Tata Sampann Toor Dal|101.00|97.00||India4.00|Vegetarian|500gms|Pouch|Tata Sampann Toor Dal||India

